CO_MUNICIPIO_RESIDENCIA,NO_MUNICIPIO_RESIDENCIA,CO_UF_RESIDENCIA,SG_UF_RESIDENCIA,NU_NOTA_CN,NU_NOTA_CH,NU_NOTA_LC,NU_NOTA_MT,NU_NOTA_REDACAO
3170008,Ubaí,31,MG,441.6540145985402,467.8238410596024,487.1158940397351,486.1014598540144,513.6423841059602
3170057,Ubaporanga,31,MG,468.97601809954745,500.6897872340424,506.5668085106384,529.1058823529407,580.4255319148937
3170107,Uberaba,31,MG,507.1317628918952,532.832621359223,541.96199029126,564.871303751928,623.5275080906149
3170206,Uberlândia,31,MG,503.46620278329874,531.8172403252452,540.8295653237165,558.4651253767689,626.190621752155
3170305,Umburatiba,31,MG,445.3452380952382,457.1204545454544,475.1818181818181,467.30000000000007,450.9090909090909
3170404,Unaí,31,MG,470.3080680570792,493.2642522146954,511.6847316310569,506.07524698133903,544.2313705054715
3170438,União de Minas,31,MG,455.8240740740741,467.7666666666668,499.8555555555556,507.0574074074073,536.2962962962963
3170479,Uruana de Minas,31,MG,444.7771428571429,450.2328947368422,468.8118421052631,476.6457142857144,523.421052631579
3170503,Urucânia,31,MG,462.4085271317828,506.9856060606061,515.4984848484847,522.8100775193801,554.6969696969697
3170529,Urucuia,31,MG,445.6764705882353,465.0907407407407,487.3469135802469,472.837254901961,511.2345679012346
3170578,Vargem Alegre,31,MG,483.16230769230776,507.7200000000003,520.8459259259262,532.419230769231,592.8888888888889
3170602,Vargem Bonita,31,MG,448.48857142857145,479.1777777777778,504.65833333333336,504.36000000000007,512.2222222222222
3170651,Vargem Grande do Rio Pardo,31,MG,447.4218181818184,483.1478260869568,496.050434782609,497.3181818181819,538.0869565217391
3170701,Varginha,31,MG,503.6367169638776,534.4895824365041,542.6201894102448,567.326566072247,617.49461902712
3170750,Varjão de Minas,31,MG,464.1528735632184,485.5775280898876,506.061797752809,496.56206896551726,533.7078651685393
3170800,Várzea da Palma,31,MG,465.3224719101123,490.4590987868287,507.3129982668973,517.3428838951311,538.9948006932409
3170909,Varzelândia,31,MG,447.57785467128014,476.56163934426223,491.3839344262294,492.95813148788886,516.0655737704918
3171006,Vazante,31,MG,483.9912144702842,507.9460591133008,518.9667487684726,532.6080103359175,606.6009852216749
3171030,Verdelândia,31,MG,426.4120967741936,444.29606299212605,469.2094488188973,446.8129032258067,433.54330708661416
3171071,Veredinha,31,MG,468.6962686567167,490.9591549295776,505.73028169014106,524.4268656716415,553.3802816901408
3171105,Veríssimo,31,MG,464.1162790697676,473.5522727272729,496.95454545454527,484.0813953488372,485.45454545454544
3171154,Vermelho Novo,31,MG,472.96633663366345,486.60865384615386,508.5509615384616,517.6584158415843,567.6923076923077
3171204,Vespasiano,31,MG,479.1569238140878,512.5740136054426,526.5219954648521,519.8962146621948,561.2517006802722
3171303,Viçosa,31,MG,521.3685555274488,545.4575425790745,544.8846472019479,585.3341006830275,654.6520681265207
3171402,Vieiras,31,MG,463.2873417721517,486.3799999999999,502.22588235294126,498.4974683544304,558.5882352941177
3171501,Mathias Lobato,31,MG,455.2945945945946,489.7131578947368,510.83947368421065,509.9540540540542,520.0
3171600,Virgem da Lapa,31,MG,457.2779735682821,496.516017316017,513.5588744588749,515.5211453744491,544.9350649350649
3171709,Virgínia,31,MG,465.5296296296295,510.2690476190475,528.457142857143,543.837037037037,568.5714285714286
3171808,Virginópolis,31,MG,493.5007462686568,514.3871428571431,524.4371428571426,548.5119402985074,612.5714285714286
3171907,Virgolândia,31,MG,469.4147058823529,487.8154929577462,515.7281690140844,511.7323529411766,483.38028169014086
3172004,Visconde do Rio Branco,31,MG,509.127287853577,526.8456790123461,530.4081790123453,570.7376039933449,618.7037037037037
3172103,Volta Grande,31,MG,475.9479166666665,508.63333333333327,524.7392156862746,535.3124999999999,546.6666666666666
3172202,Wenceslau Braz,31,MG,492.9975609756098,540.0452380952381,532.1238095238095,556.2634146341463,613.3333333333334
3200102,Afonso Cláudio,32,ES,479.9420047732704,511.0817551963049,517.3390300230947,540.9789976133643,594.6420323325635
3200136,Águia Branca,32,ES,465.7544303797468,489.91124999999977,506.3981249999999,519.2537974683543,586.5
3200169,Água Doce do Norte,32,ES,450.9743589743586,480.4038834951456,496.9276699029127,499.094871794872,506.2135922330097
3200201,Alegre,32,ES,489.257650273224,517.0706806282728,523.6171465968588,528.7215846994535,581.151832460733
3200300,Alfredo Chaves,32,ES,493.383006535948,523.5189873417723,525.25,555.013071895425,614.1772151898734
3200359,Alto Rio Novo,32,ES,464.8943999999999,499.4952755905514,513.4094488188975,508.52319999999975,614.1732283464567
3200409,Anchieta,32,ES,481.4177350427352,514.6266,524.7365999999998,533.0463675213672,562.28
